id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;oof;litter black-and-white apropos;however;ack;generously;and hope;hence fuel;because;2025-04-01;2025-04-02;2025-04-02;wordy oof legitimize;outstanding boldly;2025-04-02;2025-04-02;inscribe;exaggerate well-groomed;boohoo though oof;forage athwart bitterly;aw er;offset;delicious;considerate
2;outrun utter;comestible;meh;gladly apprehensive;until;interestingly extra-large uh-huh;since carelessly;hefty;2025-04-02;2025-04-02;2025-04-02;chow jubilantly without;deceivingly patiently until;2025-04-02;2025-04-01;onto;even incidentally chow;rubbery;ha into consequently;violently version;almost crushing;yogurt why;nightlife
3;irresponsible cruelty waterspout;merit;brr;vastly;overwork nautical peninsula;for whereas;deployment;poor whoa;2025-04-01;2025-04-02;2025-04-01;upon;rim founder than;2025-04-02;2025-04-01;shakily up closely;coolly;for lox continually;pro between yuck;outrun eek ick;powerfully capsize yuck;alongside;schematise apropos synergy
4;madly seriously decision;before unless beret;bitterly athwart;prime;seriously;since past tabletop;into ugh;marathon wasabi ornery;2025-04-01;2025-04-01;2025-04-01;wonderfully;indeed;2025-04-01;2025-04-01;hydrolyse fatal;absent ouch;lest unlike what;wealthy limply beside;bookend;specific graceful thankfully;recovery oof;finally nucleotidase fully
5;enfold;gripping stark little;who what;unlike athwart;hoof oh;sidetrack before abandoned;casement;tag elliptical because;2025-04-02;2025-04-02;2025-04-01;whose;deselect amend towards;2025-04-02;2025-04-01;besides;restfully zowie painfully;whoever;and;yet;hm;ah kaleidoscopic lumpy;daily upbeat
6;strange as flawless;beneath cantaloupe ew;ready rural;however upright;tired;since that;oh;distorted cone;2025-04-02;2025-04-01;2025-04-02;jet;at cannibalise righteously;2025-04-01;2025-04-01;as opera mid;completion warmhearted;the;spotless save;for;spectate metal unless;defenseless kowtow;hateful midst question
7;truthfully drat;because;incidentally;rightfully;yippee ew brood;courtroom awkwardly;quash;tribe provided density;2025-04-01;2025-04-02;2025-04-01;duh solemnly probable;selfishly phooey since;2025-04-01;2025-04-01;bowling;replacement considerate;instead er heavily;nicely deliberately newsstand;silently;brr duh;scrap psst resort;chairperson athwart
8;feline;annually;utilization;uncommon youthfully;over;if whoever;term;fuss pressure;2025-04-01;2025-04-01;2025-04-01;fort t-shirt;graceful austere;2025-04-01;2025-04-01;step faithfully the;angle solution ouch;topsail gosh;oof fooey brr;punctually agreement;adventurously enrage;down pigsty;furthermore
9;below till;honestly puny;poor neighboring;disloyal;yippee newsletter;inasmuch er intent;for more;topsail quiet;2025-04-02;2025-04-02;2025-04-01;loaf;galvanize redound per;2025-04-01;2025-04-01;gee hm swiftly;sudden provided;pro pish jaggedly;athwart repeatedly whenever;indeed apprehensive as;that;but inasmuch regarding;direct
10;selfishly once;amend;cruelly dapper tasty;scarification gah;from separate whoa;curiously ick;final;including oh;2025-04-02;2025-04-02;2025-04-02;potentially righteously thorny;dreamily whose lock;2025-04-02;2025-04-02;shear denitrify;jiggle while that;worthless yum slide;dislocate after;fortunate;blah boldly;for endow;stable glass
