id;adresse_email;code_statut;date_statut;code_usage_email
1;once woot below;overcharge aw;2025-04-02;geez
2;above duffel during;um instead;2025-04-02;knavishly modulo
3;finally behold;resolve microchip;2025-04-01;masticate meanwhile how
4;apropos hmph;ew;2025-04-02;disbar mismatch necessary
5;own of;likely below but;2025-04-02;ick hopelessly
6;an while;yowza terribly next;2025-04-02;among chasuble
7;uh-huh;prejudge;2025-04-02;considering bowed
8;pfft confused;turbulent;2025-04-01;curry pine
9;astride ick under;sheepishly zowie meanwhile;2025-04-02;schlep alongside vice
10;refute besides;solidly stake apprehensive;2025-04-01;suffice hm
