id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;midst pish mooch;meh ouch and;mixture;valley a;fooey since at;indeed;trivial;who signature;absent plump bah;disarm;enchanted unto;brr humble;patiently since;drowse aside;or;duh;popularity pro;pike;yahoo antique catalyze;past;glum;meanwhile
2;uh-huh flawless;tidy;coaxingly;relaunch;readily brr slide;phew splash;within redound pfft;mothball;afore;onto ugh;disarm apropos;inasmuch accentuate;for somber;pulp;angelic through;fooey too;whoever since;jovially pluck maestro;minus whoa;including vivaciously vacation;yet afterwards;zowie neaten
3;following;fatherly ouch;overspend daddy duh;absolve;even minus contractor;palatable;over huzzah;meh except;doodle;brightly huzzah once;swelter even overcooked;ick when;hope because institutionalize;where;ugh disclosure;upright perfumed analogy;colorless whoa since;honored;institute;purple;hungrily subtract procurement;flashy cone
4;silver ew;governance federate;gosh out yippee;till incidentally;yowza;progress;if;hexagon fooey;whoever;around;circa below advocate;whenever planula whoever;embarrassment hubris until;drat;barring;blah celebrated;at cool;lightly boldly boohoo;sniveling yippee notwithstanding;wherever cutlet astride;hairy;raw likely
5;untried;that intrigue brr;towards cinch;substantial hopeful glorious;monthly psst;well cassava untrue;toward;incidentally unique geez;phew geez;ugh ouch;lightly;eternity;earth since;whoever noisily;tomography fisherman mmm;um huzzah gad;phew;above;eventually psst peninsula;worth given account;stump consequently absent;um besides indeed
6;woot shadowbox;preregister;gadzooks;in frozen redraw;loyally;merry experienced hence;boohoo once where;oof;delightfully;cruelty ick;simplistic often;swiftly;oxidize;feather;cultivated um;blah tense;mmm;likely meander;fooey joshingly gee;quaintly;whoever;forage
7;punctually;dishearten considering pertinent;sophisticated consequently when;finally;worthwhile midst;sometimes meaty;monthly;intent;gee descendant;through;federate mushy electrify;grouper duh;boo;provider though;instead;reluctantly anti;gosh hence mmm;um;nor warmly ameliorate;developing acquaintance underneath;stage fast;diligently
8;hmph;upward;ouch intently;relaunch supposing come;unnaturally yesterday anti;naughty ha;overconfidently;riser;worriedly since blight;worriedly athwart psst;before oddly majestically;modulo;incandescence woot nutritious;bolster outset gee;whoever weighty;across what eek;even;speedily;following;inasmuch acknowledge;chairperson braid voluminous;weight
9;neatly pace unto;spew;ew;till our whoever;horse aggravating abaft;under;loose;hence under;horse;before where exactly;between whenever out;duh imaginative;ew consistency appropriate;climb furthermore;majestic for hmph;woot;personalise;opposite trusting;athwart;what unless;harangue shudder geez;at happy-go-lucky cautiously
10;phooey;foretell repossess forsaken;hence;personal;other upon;woot instead;extract;vice whether sting;soon;although how;across in blend;gee implode;nervously;gracious duh at;gosh eek;psst why oh;nearly;following yahoo;swear;finally how safeguard;colorful hammock miskey;innovation
