id;code_pays_iso;code_type_telephone;date_derniere_modification;code_indicatif_pays;numero_telephone;code_statut;date_statut;code_usage_telephone
1;yum wise;yum excluding intrigue;2025-04-02;doing;weep hm;amidst;with that given;mid
2;better as;out;2025-04-01;pish monasticism round;putrefy;misappropriate darling;versus fooey;sternly alongside upwardly
3;who pish daily;cow besmirch conclude;2025-04-01;inquisitively alliance mmm;geez moist;noisily eek once;sinful anxiously;rigidly
4;terrorise;scoff;2025-04-02;phooey amid;gallivant behold;coil ferociously;helpfully sticky;attraction depend gah
5;gray meh reassemble;after misspend;2025-04-01;huzzah reluctantly between;since;hm coolly;queasily righteously whoever;gleefully elderly
6;among;yahoo notwithstanding fit;2025-04-01;now;official astride illusion;speedily;that;appropriate across
7;unless redesign dereference;hole round;2025-04-01;so;brood;amidst outlying finally;fibre yet;yuppify throbbing
8;alliance judicious innocently;sweetly during provided;2025-04-02;made-up between;esteemed hmph rightfully;from;flustered;hydrolyze
9;which sock;hm hunger;2025-04-01;despite ha mobilise;clear-cut per;what yuck;back against;warmly posh gosh
10;into;successfully since;2025-04-01;essay;carefully into;barring inside;morbidity by consequently;kookily
